"No.","Time","Source","Destination","Protocol","Length","Info"
"53","0.327654","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"54","0.327655","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"55","0.337367","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=27361 Win=413 Len=0 TSval=132018620 TSecr=1082454511"
"56","0.337416","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"57","0.337416","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"58","0.345660","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=28801 Win=422 Len=0 TSval=132018622 TSecr=1082454519"
"59","0.345745","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"60","0.345746","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"61","0.353971","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=30241 Win=422 Len=0 TSval=132018624 TSecr=1082454526"
"62","0.353992","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"63","0.353992","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"64","0.363104","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=31681 Win=422 Len=0 TSval=132018627 TSecr=1082454534"
"65","0.363174","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"66","0.363174","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"67","0.371942","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=33121 Win=422 Len=0 TSval=132018629 TSecr=1082454542"
"68","0.372000","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"69","0.372001","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"70","0.380862","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=34561 Win=422 Len=0 TSval=132018631 TSecr=1082454549"
"71","0.380885","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"72","0.380886","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"73","0.388033","17.188.140.184","192.168.0.86","TCP","66","[TCP ACKed unseen segment] 443  >  60864 [ACK] Seq=1 Ack=2 Win=261 Len=0 TSval=750879282 TSecr=1076447279"
"74","0.389242","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=36001 Win=422 Len=0 TSval=132018633 TSecr=1082454558"
"75","0.389333","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"76","0.389335","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"77","0.461981","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=37441 Win=422 Len=0 TSval=132018651 TSecr=1082454631"
"78","0.462043","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"79","0.470275","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=38881 Win=422 Len=0 TSval=132018653 TSecr=1082454631"
"80","0.470345","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"81","0.479039","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=40321 Win=422 Len=0 TSval=132018656 TSecr=1082454640"
"82","0.479096","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"83","0.487924","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=41761 Win=422 Len=0 TSval=132018658 TSecr=1082454640"
"84","0.487979","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"85","0.496924","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=43201 Win=422 Len=0 TSval=132018660 TSecr=1082454648"
"86","0.496974","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"87","0.504863","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=44641 Win=422 Len=0 TSval=132018662 TSecr=1082454648"
"88","0.504895","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"89","0.513074","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=46081 Win=422 Len=0 TSval=132018664 TSecr=1082454656"
"90","0.513118","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"91","0.522852","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=47521 Win=422 Len=0 TSval=132018667 TSecr=1082454656"
"92","0.522918","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"93","0.530814","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=48961 Win=422 Len=0 TSval=132018669 TSecr=1082454664"
"94","0.530849","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"95","0.540130","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=50401 Win=422 Len=0 TSval=132018671 TSecr=1082454664"
"96","0.540165","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"97","0.548118","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=51841 Win=422 Len=0 TSval=132018673 TSecr=1082454673"
"98","0.548193","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"99","0.565409","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=54721 Win=422 Len=0 TSval=132018677 TSecr=1082454673"
"100","0.565455","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"101","0.565456","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"102","0.582248","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=57601 Win=422 Len=0 TSval=132018682 TSecr=1082454681"
"103","0.582310","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"104","0.582311","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"105","0.594334","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"106","0.599737","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=60481 Win=422 Len=0 TSval=132018686 TSecr=1082454689"
"107","0.599770","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"108","0.616831","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=63361 Win=422 Len=0 TSval=132018690 TSecr=1082454698"
"109","0.616875","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"110","0.616876","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"111","0.623559","216.58.210.46","192.168.0.86","TLSv1.2","129","Application Data"
"112","0.623604","192.168.0.86","216.58.210.46","TCP","66","62545  >  443 [ACK] Seq=1 Ack=64 Win=4094 Len=0 TSval=1082454947 TSecr=4248004869"
"113","0.623618","216.58.210.46","192.168.0.86","TCP","66","443  >  62545 [FIN, ACK] Seq=64 Ack=1 Win=349 Len=0 TSval=4248004869 TSecr=1082224004"
"114","0.623637","192.168.0.86","216.58.210.46","TCP","66","62545  >  443 [ACK] Seq=1 Ack=65 Win=4096 Len=0 TSval=1082454947 TSecr=4248004869"
"115","0.623686","192.168.0.86","216.58.210.46","TCP","66","62545  >  443 [FIN, ACK] Seq=1 Ack=65 Win=4096 Len=0 TSval=1082454947 TSecr=4248004869"
"116","0.634832","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=66241 Win=422 Len=0 TSval=132018695 TSecr=1082454706"
"117","0.634874","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"118","0.634875","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"119","0.635808","216.58.208.142","192.168.0.86","TLSv1.2","129","Application Data"
"120","0.635830","192.168.0.86","216.58.208.142","TCP","66","62546  >  443 [ACK] Seq=1 Ack=64 Win=4094 Len=0 TSval=1082454958 TSecr=4219896866"
"121","0.635836","216.58.208.142","192.168.0.86","TCP","66","443  >  62546 [FIN, ACK] Seq=64 Ack=1 Win=340 Len=0 TSval=4219896866 TSecr=1082224006"
"122","0.635846","192.168.0.86","216.58.208.142","TCP","66","62546  >  443 [ACK] Seq=1 Ack=65 Win=4094 Len=0 TSval=1082454958 TSecr=4219896866"
"123","0.635922","192.168.0.86","216.58.208.142","TCP","66","62546  >  443 [FIN, ACK] Seq=1 Ack=65 Win=4096 Len=0 TSval=1082454959 TSecr=4219896866"
"124","0.642915","216.58.210.46","192.168.0.86","TCP","66","443  >  62545 [ACK] Seq=65 Ack=2 Win=349 Len=0 TSval=4248004889 TSecr=1082454947"
"125","0.651931","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=69121 Win=422 Len=0 TSval=132018699 TSecr=1082454714"
"126","0.651933","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=72001 Win=422 Len=0 TSval=132018699 TSecr=1082454722"
"127","0.651934","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=74881 Win=422 Len=0 TSval=132018699 TSecr=1082454802"
"128","0.651979","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"129","0.651980","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"130","0.652020","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"131","0.652021","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"132","0.652021","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"133","0.652022","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"134","0.658448","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=77761 Win=422 Len=0 TSval=132018701 TSecr=1082454818"
"135","0.658501","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"136","0.658502","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"137","0.660575","216.58.208.142","192.168.0.86","TCP","66","443  >  62546 [ACK] Seq=65 Ack=2 Win=340 Len=0 TSval=4219896891 TSecr=1082454959"
"138","0.674948","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=80641 Win=422 Len=0 TSval=132018705 TSecr=1082454834"
"139","0.675207","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"140","0.675211","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"141","0.692853","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=83521 Win=422 Len=0 TSval=132018709 TSecr=1082454850"
"142","0.692941","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"143","0.692942","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"144","0.701701","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=84961 Win=434 Len=0 TSval=132018711 TSecr=1082454866"
"145","0.701731","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"146","0.710107","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=86401 Win=445 Len=0 TSval=132018713 TSecr=1082454874"
"147","0.710177","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"148","0.726507","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=87841 Win=456 Len=0 TSval=132018718 TSecr=1082454891"
"149","0.726560","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"150","0.732708","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=89281 Win=467 Len=0 TSval=132018719 TSecr=1082454891"
"151","0.732759","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"152","0.744543","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=90721 Win=479 Len=0 TSval=132018722 TSecr=1082454907"
"153","0.744559","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"154","0.751065","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=92161 Win=490 Len=0 TSval=132018724 TSecr=1082454907"
"155","0.751084","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"156","0.756979","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=93601 Win=501 Len=0 TSval=132018725 TSecr=1082454919"
"157","0.757032","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"158","0.757033","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"159","0.763612","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=95041 Win=512 Len=0 TSval=132018727 TSecr=1082454924"
"160","0.763633","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"161","0.763633","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"162","0.779057","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=96481 Win=524 Len=0 TSval=132018731 TSecr=1082454941"
"163","0.779083","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"164","0.779083","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"165","0.784629","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=97921 Win=535 Len=0 TSval=132018732 TSecr=1082454941"
"166","0.784672","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"167","0.784673","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"168","0.796823","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=99361 Win=546 Len=0 TSval=132018735 TSecr=1082454958"
"169","0.796846","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"170","0.796846","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"171","0.802803","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=100801 Win=557 Len=0 TSval=132018737 TSecr=1082454958"
"172","0.802919","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"173","0.802921","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"174","0.813776","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=102241 Win=569 Len=0 TSval=132018739 TSecr=1082454974"
"175","0.813809","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"176","0.813809","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"177","0.819386","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=103681 Win=580 Len=0 TSval=132018741 TSecr=1082454974"
"178","0.819423","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"179","0.819424","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"180","0.827082","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=105121 Win=591 Len=0 TSval=132018743 TSecr=1082454974"
"181","0.827168","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"182","0.827169","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"183","0.832759","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=106561 Win=602 Len=0 TSval=132018744 TSecr=1082454974"
"184","0.832781","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"185","0.832781","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"186","0.838445","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=108001 Win=614 Len=0 TSval=132018745 TSecr=1082454974"
"187","0.838498","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"188","0.838498","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"189","0.845269","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=109441 Win=625 Len=0 TSval=132018747 TSecr=1082454974"
"190","0.845292","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"191","0.845292","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"192","0.850609","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=110881 Win=636 Len=0 TSval=132018749 TSecr=1082454980"
"193","0.850644","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"194","0.850644","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"195","0.856998","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=112321 Win=647 Len=0 TSval=132018750 TSecr=1082454980"
"196","0.857036","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"197","0.857036","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"198","0.863728","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=113761 Win=659 Len=0 TSval=132018752 TSecr=1082454996"
"199","0.863750","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"200","0.863750","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"201","0.869924","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=115201 Win=670 Len=0 TSval=132018753 TSecr=1082454996"
"202","0.869980","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"203","0.869980","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"204","0.875627","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=116641 Win=681 Len=0 TSval=132018755 TSecr=1082455013"
"205","0.875726","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"206","0.875727","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"207","0.882660","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=118081 Win=692 Len=0 TSval=132018757 TSecr=1082455013"
"208","0.882748","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"209","0.882751","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"210","0.888060","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=119521 Win=704 Len=0 TSval=132018758 TSecr=1082455021"
"211","0.888144","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"212","0.888144","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"213","0.895125","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=120961 Win=715 Len=0 TSval=132018760 TSecr=1082455029"
"214","0.895249","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"215","0.895251","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"216","0.901039","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=122401 Win=726 Len=0 TSval=132018761 TSecr=1082455044"
"217","0.901158","192.168.0.86","52.42.164.78","SSLv2","1506","Encrypted Data"
"218","0.901158","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
"219","0.907101","52.42.164.78","192.168.0.86","TCP","66","443  >  63250 [ACK] Seq=1 Ack=123841 Win=737 Len=0 TSval=132018763 TSecr=1082455050"
"220","0.907137","192.168.0.86","52.42.164.78","TCP","1506","[TCP segment of a reassembled PDU]"
